1 1,1, Posición de acostado inestable.
2,1,Mantiene las piernas y los brazos en flexión
3,1,Espalda redondeada
4,1,La cara la mantiene dirigida hacia un lado
5,1,Manos empuñadas con el pulgar atrapado
6,1,Al moverle su cabeza o su cuerpo se modifica
7,1,Mínimo movimiento
8,2,Posición estable de acostado
9,2,Disminucion del tono muscular de brazos y piernas
10,2,Espalda alineada y recta
11,2,Gira la cabeza libremente
12,2,Dirige sus movimientos hacia el objeto que se le muestra.
13,2,Inicia el contacto entre las plantas de los pies
14,2,Inicia el volteo
15,3,Apoya codos y eleva la cabeza en la línea media o (acostado boca abajo)
16,3,Modifica constantemente su postura por interés visual
17,3,Sigue la trayectoria del objeto con la mano sin cruzar línea media
18,3,Apoya codo y muslo del lado contrario al que ve
19,3,Intenta elevar el brazo del lado de la cara o apoyándose en el contrario.
20,3,Realiza movimientos  natatorios al tratar de alcanzar un objeto.
21,3,Comienza el rodado
22,4,Se mantiene muy estable en posición de acostado.
23,4,Eleva brazos llevándolos a la línea media o siendo sus movimientos mas dirigidos hacia lo que desea
24,4,Empieza a desarrollar la prensión
25,4,Logra el rodado ágil
26,5,Se mantiene estable acostado de lado
27,5,Consigue la posición de sentado
28,5,Se sienta de lado liberando la mano contraria
29,5,Realiza pinza fina o flexionando los últimos dedos
30,5,Se arrastra sin usar piernas
31,5,Se arrastra con brazos y piernas
32,5,Gatea incoordinadamente o se sienta  y continúa
33,6,Gatea coordinadamente
34,6,Logra pararse
35,7,Se para de manera  más estable
36,7,Logra la marcha lateral
37,7,Se agarra con una mano y con la otra toma objetos (al estar de pie)
38,8,Da sus primeros pasos sólo cambiando de un mueble a otro.
39,8,Camina independientemente
40,8,Arrastra y/o empuja objetos
41,9,Mantiene su columna bien alineada y con curvatura en la zona de la cintura.
42,9,Apoya su peso formando arco del pie.
43,9,Realiza movimientos más complejos de antebrazos (destapa botes o carga o etc.)
44,9,Se para en un pie o con un grado de equilibrio mayor permitiendo una descarga de peso adecuada
45,9,Inicia el brincado
46,9,Realiza marcha adelante o atrás y lateral con precisión.
47,10,Sigue objetos en movimiento
48,10,Atiende objetos próximos y distantes
49,10,Busca el objeto perdido
50,11,Responde a un estímulo sonoro
51,11,Busca la fuente sonora
52,12,Presenta disociación d labio
53,12,Presenta disociación de lengua
54,12,Presenta disociación d mandíbula
55,13,Reconoce cabeza
56,13,Reconoce brazos
57,13,Reconoce manos
58,13,Reconoce piernas
59,13,Reconoce pies
60,13,Reconoce ojos
61,13,Reconoce boca
62,14,Discrimina sonidos del medio ambiente.
63,14,Sigue órdenes de un comando
64,14,Sigue órdenes de dos comandos
65,15,Expresa placer-displacer
66,15,Maneja código elemental de comunicación o  (si-no).
67,15,Presenta patrón básico de respuesta en palabra hablada
68,15,Presenta patrón básico de respuesta en palabra escrita
69,15,Presenta patrón básico de respuesta en movimiento de cabeza
70,15,Presenta patrón básico de respuesta en movimiento de brazos o manos
71,15,Presenta patrón básico de respuesta en movimientos de piernas o pies
72,15,Presenta patrón básico de respuesta en movimientos oculares
73,15,Repite vocales y sílabas simples: a-e-i-o-u pa-ca-la-el-li-up-co-es-si-me-im-be-ib
74,15,Repite sílabas complejas:bra-glo-tre-dru-blo-afa-puen-cuan-guen
75,15,Repite palabras: gallina-bolsa-cuento-ventana-peso-casa-semáforo
76,15,Elabora frases con cualquier sistema de comunicación
77,15,Es capaz de elaborar respuestas utilizando frases simples: sujeto -verbo
78,16,Imita de manera voluntaria movimientos
79,16,Imita movimientos en forma diferida.
80,17,Sigue órdenes de tres comandos
